Zip Code,Date,Total Doses - Daily,Total Doses - Cumulative,1st Dose - Daily,1st Dose - Cumulative,1st Dose - Percent Population,Vaccine Series Completed - Daily,Vaccine Series Completed - Cumulative,Vaccine Series Completed  - Percent Population,Population,ZIP Code Location,Row_ID
60601,12/24/2020,9,306,9,306,0.02,0,0,0,15083,POINT (-87.622844 41.886262),60601-20201224
60601,12/25/2020,0,306,0,306,0.02,0,0,0,15083,POINT (-87.622844 41.886262),60601-20201225
60601,12/26/2020,10,316,10,316,0.021,0,0,0,15083,POINT (-87.622844 41.886262),60601-20201226
60601,12/27/2020,0,316,0,316,0.021,0,0,0,15083,POINT (-87.622844 41.886262),60601-20201227
60601,12/29/2020,27,365,27,365,0.024,0,0,0,15083,POINT (-87.622844 41.886262),60601-20201229
60601,12/30/2020,34,399,34,399,0.026,0,0,0,15083,POINT (-87.622844 41.886262),60601-20201230
60601,12/31/2020,14,413,14,413,0.027,0,0,0,15083,POINT (-87.622844 41.886262),60601-20201231
60601,01/01/2021,1,414,1,414,0.027,0,0,0,15083,POINT (-87.622844 41.886262),60601-20210101
60601,01/02/2021,8,422,8,422,0.028,0,0,0,15083,POINT (-87.622844 41.886262),60601-20210102
60601,01/03/2021,5,427,5,427,0.028,0,0,0,15083,POINT (-87.622844 41.886262),60601-20210103
60601,01/04/2021,33,460,31,458,0.03,2,2,0,15083,POINT (-87.622844 41.886262),60601-20210104
60601,01/05/2021,36,496,34,492,0.033,2,4,0,15083,POINT (-87.622844 41.886262),60601-20210105
60601,01/06/2021,20,516,13,505,0.033,7,11,0.001,15083,POINT (-87.622844 41.886262),60601-20210106
60601,01/07/2021,56,572,18,523,0.035,38,49,0.003,15083,POINT (-87.622844 41.886262),60601-20210107
60601,01/08/2021,84,656,22,545,0.036,62,111,0.007,15083,POINT (-87.622844 41.886262),60601-20210108
60601,01/09/2021,45,701,11,556,0.037,34,145,0.01,15083,POINT (-87.622844 41.886262),60601-20210109
60601,01/10/2021,12,713,3,559,0.037,9,154,0.01,15083,POINT (-87.622844 41.886262),60601-20210110
60601,01/11/2021,64,777,10,569,0.038,54,208,0.014,15083,POINT (-87.622844 41.886262),60601-20210111
60601,01/12/2021,73,850,27,596,0.04,46,254,0.017,15083,POINT (-87.622844 41.886262),60601-20210112
60601,01/13/2021,49,899,27,623,0.041,22,276,0.018,15083,POINT (-87.622844 41.886262),60601-20210113
60602,01/16/2021,7,117,7,87,0.076,0,30,0.026,1145,POINT (-87.628309 41.883136),60602-20210116
60602,01/17/2021,3,120,2,89,0.078,1,31,0.027,1145,POINT (-87.628309 41.883136),60602-20210117
60606,02/02/2021,12,514,9,362,0.11,3,152,0.046,3287,POINT (-87.63676 41.882634),60606-20210202
60606,02/03/2021,9,523,9,371,0.113,0,152,0.046,3287,POINT (-87.63676 41.882634),60606-20210203
60616,01/16/2021,55,2453,36,1810,0.033,19,643,0.012,54197,POINT (-87.629531 41.844869),60616-20210116
60616,01/17/2021,18,2471,8,1818,0.034,10,653,0.012,54197,POINT (-87.629531 41.844869),60616-20210117
60619,01/16/2021,25,892,24,783,0.013,1,109,0.002,61207,POINT (-87.60569 41.744737),60619-20210116
60619,01/17/2021,6,898,3,786,0.013,3,112,0.002,61207,POINT (-87.60569 41.744737),60619-20210117
60619,01/18/2021,49,947,37,823,0.013,12,124,0.002,61207,POINT (-87.60569 41.744737),60619-20210118
60619,01/19/2021,108,1055,85,908,0.015,23,147,0.002,61207,POINT (-87.60569 41.744737),60619-20210119
60619,01/20/2021,121,1176,89,997,0.016,32,179,0.003,61207,POINT (-87.60569 41.744737),60619-20210120
60619,01/21/2021,180,1356,150,1147,0.019,30,209,0.003,61207,POINT (-87.60569 41.744737),60619-20210121
60619,01/22/2021,260,1616,251,1398,0.023,9,218,0.004,61207,POINT (-87.60569 41.744737),60619-20210122
60619,01/23/2021,100,1716,97,1495,0.024,3,221,0.004,61207,POINT (-87.60569 41.744737),60619-20210123
60619,01/24/2021,30,1746,28,1523,0.025,2,223,0.004,61207,POINT (-87.60569 41.744737),60619-20210124
60619,01/25/2021,138,1884,120,1643,0.027,18,241,0.004,61207,POINT (-87.60569 41.744737),60619-20210125
60619,01/26/2021,155,2039,123,1766,0.029,32,273,0.004,61207,POINT (-87.60569 41.744737),60619-20210126
60619,01/27/2021,190,2229,167,1933,0.032,23,296,0.005,61207,POINT (-87.60569 41.744737),60619-20210127
60619,01/28/2021,211,2440,193,2126,0.035,18,314,0.005,61207,POINT (-87.60569 41.744737),60619-20210128
60619,01/29/2021,291,2731,270,2396,0.039,21,335,0.005,61207,POINT (-87.60569 41.744737),60619-20210129
60619,01/30/2021,108,2839,96,2492,0.041,12,347,0.006,61207,POINT (-87.60569 41.744737),60619-20210130
60619,01/31/2021,15,2854,14,2506,0.041,1,348,0.006,61207,POINT (-87.60569 41.744737),60619-20210131
60619,02/01/2021,139,2993,114,2620,0.043,25,373,0.006,61207,POINT (-87.60569 41.744737),60619-20210201
60621,01/22/2021,34,483,31,433,0.015,3,50,0.002,28018,POINT (-87.638812 41.776931),60621-20210122
60621,01/23/2021,19,502,19,452,0.016,0,50,0.002,28018,POINT (-87.638812 41.776931),60621-20210123
60621,01/24/2021,3,505,3,455,0.016,0,50,0.002,28018,POINT (-87.638812 41.776931),60621-20210124
60621,01/25/2021,103,608,94,549,0.02,9,59,0.002,28018,POINT (-87.638812 41.776931),60621-20210125
60621,01/26/2021,34,642,22,571,0.02,12,71,0.003,28018,POINT (-87.638812 41.776931),60621-20210126
60621,01/27/2021,124,766,83,654,0.023,41,112,0.004,28018,POINT (-87.638812 41.776931),60621-20210127
60621,01/28/2021,47,813,40,694,0.025,7,119,0.004,28018,POINT (-87.638812 41.776931),60621-20210128
60621,01/29/2021,149,962,95,789,0.028,54,173,0.006,28018,POINT (-87.638812 41.776931),60621-20210129
60621,01/30/2021,17,979,15,804,0.029,2,175,0.006,28018,POINT (-87.638812 41.776931),60621-20210130
60621,01/31/2021,0,979,0,804,0.029,0,175,0.006,28018,POINT (-87.638812 41.776931),60621-20210131
60621,02/01/2021,24,1003,21,825,0.029,3,178,0.006,28018,POINT (-87.638812 41.776931),60621-20210201
60621,02/02/2021,29,1032,19,844,0.03,10,188,0.007,28018,POINT (-87.638812 41.776931),60621-20210202
60621,02/03/2021,45,1077,37,881,0.031,8,196,0.007,28018,POINT (-87.638812 41.776931),60621-20210203
60622,01/06/2021,191,2571,171,2529,0.047,20,42,0.001,53294,POINT (-87.681818 41.902762),60622-20210106
60622,01/07/2021,274,2845,84,2613,0.049,190,232,0.004,53294,POINT (-87.681818 41.902762),60622-20210107
60622,01/08/2021,341,3186,67,2680,0.05,274,506,0.009,53294,POINT (-87.681818 41.902762),60622-20210108
60622,01/09/2021,245,3431,52,2732,0.051,193,699,0.013,53294,POINT (-87.681818 41.902762),60622-20210109
60622,01/10/2021,54,3485,16,2748,0.052,38,737,0.014,53294,POINT (-87.681818 41.902762),60622-20210110
60622,01/11/2021,301,3786,93,2841,0.053,208,945,0.018,53294,POINT (-87.681818 41.902762),60622-20210111
60622,01/12/2021,269,4055,109,2950,0.055,160,1105,0.021,53294,POINT (-87.681818 41.902762),60622-20210112
60622,01/13/2021,212,4267,96,3046,0.057,116,1221,0.023,53294,POINT (-87.681818 41.902762),60622-20210113
60622,01/14/2021,202,4469,164,3210,0.06,38,1259,0.024,53294,POINT (-87.681818 41.902762),60622-20210114
60622,01/15/2021,114,4583,105,3315,0.062,9,1268,0.024,53294,POINT (-87.681818 41.902762),60622-20210115
60624,01/18/2021,5,434,5,381,0.011,0,53,0.002,34892,POINT (-87.722735 41.879417),60624-20210118
60624,01/19/2021,28,462,15,396,0.011,13,66,0.002,34892,POINT (-87.722735 41.879417),60624-20210119
60624,01/20/2021,59,521,46,442,0.013,13,79,0.002,34892,POINT (-87.722735 41.879417),60624-20210120
60624,01/21/2021,56,577,44,486,0.014,12,91,0.003,34892,POINT (-87.722735 41.879417),60624-20210121
60624,01/22/2021,45,622,41,527,0.015,4,95,0.003,34892,POINT (-87.722735 41.879417),60624-20210122
60624,01/23/2021,15,637,15,542,0.016,0,95,0.003,34892,POINT (-87.722735 41.879417),60624-20210123
60624,01/24/2021,3,640,2,544,0.016,1,96,0.003,34892,POINT (-87.722735 41.879417),60624-20210124
60624,01/25/2021,50,690,35,579,0.017,15,111,0.003,34892,POINT (-87.722735 41.879417),60624-20210125
60624,01/26/2021,41,731,27,606,0.017,14,125,0.004,34892,POINT (-87.722735 41.879417),60624-20210126
60624,01/27/2021,76,807,60,666,0.019,16,141,0.004,34892,POINT (-87.722735 41.879417),60624-20210127
60624,01/28/2021,76,883,64,730,0.021,12,153,0.004,34892,POINT (-87.722735 41.879417),60624-20210128
60624,01/29/2021,110,993,104,834,0.024,6,159,0.005,34892,POINT (-87.722735 41.879417),60624-20210129
60624,01/30/2021,28,1021,22,856,0.025,6,165,0.005,34892,POINT (-87.722735 41.879417),60624-20210130
60624,01/31/2021,6,1027,6,862,0.025,0,165,0.005,34892,POINT (-87.722735 41.879417),60624-20210131
60624,02/01/2021,117,1144,107,969,0.028,10,175,0.005,34892,POINT (-87.722735 41.879417),60624-20210201
60624,02/02/2021,90,1234,68,1037,0.03,22,197,0.006,34892,POINT (-87.722735 41.879417),60624-20210202
60626,01/07/2021,100,1179,75,1135,0.022,25,44,0.001,50544,POINT (-87.669834 42.009469),60626-20210107
60634,01/07/2021,117,1230,55,1147,0.015,62,83,0.001,75082,POINT (-87.797373 41.944967),60634-20210107
60634,01/08/2021,318,1548,217,1364,0.018,101,184,0.002,75082,POINT (-87.797373 41.944967),60634-20210108
60634,01/09/2021,73,1621,31,1395,0.019,42,226,0.003,75082,POINT (-87.797373 41.944967),60634-20210109
60634,01/10/2021,28,1649,12,1407,0.019,16,242,0.003,75082,POINT (-87.797373 41.944967),60634-20210110
60634,01/11/2021,100,1749,45,1452,0.019,55,297,0.004,75082,POINT (-87.797373 41.944967),60634-20210111
60634,01/12/2021,129,1878,72,1524,0.02,57,354,0.005,75082,POINT (-87.797373 41.944967),60634-20210112
60634,01/13/2021,145,2023,94,1618,0.022,51,405,0.005,75082,POINT (-87.797373 41.944967),60634-20210113
60634,01/14/2021,81,2104,69,1687,0.022,12,417,0.006,75082,POINT (-87.797373 41.944967),60634-20210114
60634,01/15/2021,195,2299,194,1881,0.025,1,418,0.006,75082,POINT (-87.797373 41.944967),60634-20210115
60636,01/26/2021,44,533,38,454,0.015,6,79,0.003,30024,POINT (-87.668597 41.77599),60636-20210126
60636,01/27/2021,61,594,52,506,0.017,9,88,0.003,30024,POINT (-87.668597 41.77599),60636-20210127
60636,01/28/2021,55,649,52,558,0.019,3,91,0.003,30024,POINT (-87.668597 41.77599),60636-20210128
60636,01/29/2021,104,753,98,656,0.022,6,97,0.003,30024,POINT (-87.668597 41.77599),60636-20210129
60636,01/30/2021,26,779,24,680,0.023,2,99,0.003,30024,POINT (-87.668597 41.77599),60636-20210130
60636,01/31/2021,3,782,2,682,0.023,1,100,0.003,30024,POINT (-87.668597 41.77599),60636-20210131
60636,02/01/2021,34,816,30,712,0.024,4,104,0.003,30024,POINT (-87.668597 41.77599),60636-20210201
60638,01/07/2021,83,786,38,728,0.012,45,58,0.001,58669,POINT (-87.771902 41.787032),60638-20210107
60638,01/08/2021,93,879,33,761,0.013,60,118,0.002,58669,POINT (-87.771902 41.787032),60638-20210108
60638,01/09/2021,56,935,20,781,0.013,36,154,0.003,58669,POINT (-87.771902 41.787032),60638-20210109
60638,01/10/2021,19,954,6,787,0.013,13,167,0.003,58669,POINT (-87.771902 41.787032),60638-20210110
60638,01/11/2021,63,1017,21,808,0.014,42,209,0.004,58669,POINT (-87.771902 41.787032),60638-20210111
60638,01/12/2021,93,1110,42,850,0.014,51,260,0.004,58669,POINT (-87.771902 41.787032),60638-20210112
60638,01/13/2021,89,1199,60,910,0.016,29,289,0.005,58669,POINT (-87.771902 41.787032),60638-20210113
60638,01/14/2021,85,1284,70,980,0.017,15,304,0.005,58669,POINT (-87.771902 41.787032),60638-20210114
60638,01/15/2021,55,1339,45,1025,0.017,10,314,0.005,58669,POINT (-87.771902 41.787032),60638-20210115
60638,01/16/2021,38,1377,28,1053,0.018,10,324,0.006,58669,POINT (-87.771902 41.787032),60638-20210116
60638,01/17/2021,15,1392,13,1066,0.018,2,326,0.006,58669,POINT (-87.771902 41.787032),60638-20210117
60638,01/18/2021,55,1447,45,1111,0.019,10,336,0.006,58669,POINT (-87.771902 41.787032),60638-20210118
60638,01/19/2021,98,1545,61,1172,0.02,37,373,0.006,58669,POINT (-87.771902 41.787032),60638-20210119
60638,01/20/2021,126,1671,85,1257,0.021,41,414,0.007,58669,POINT (-87.771902 41.787032),60638-20210120
60638,01/21/2021,150,1821,125,1382,0.024,25,439,0.007,58669,POINT (-87.771902 41.787032),60638-20210121
60638,01/22/2021,161,1982,147,1529,0.026,14,453,0.008,58669,POINT (-87.771902 41.787032),60638-20210122
60638,01/23/2021,110,2092,107,1636,0.028,3,456,0.008,58669,POINT (-87.771902 41.787032),60638-20210123
60638,01/24/2021,33,2125,31,1667,0.028,2,458,0.008,58669,POINT (-87.771902 41.787032),60638-20210124
60638,01/25/2021,115,2240,80,1747,0.03,35,493,0.008,58669,POINT (-87.771902 41.787032),60638-20210125
60638,01/26/2021,146,2386,100,1847,0.031,46,539,0.009,58669,POINT (-87.771902 41.787032),60638-20210126
60638,01/27/2021,203,2589,177,2024,0.034,26,565,0.01,58669,POINT (-87.771902 41.787032),60638-20210127
60638,01/28/2021,211,2800,180,2204,0.038,31,596,0.01,58669,POINT (-87.771902 41.787032),60638-20210128
60638,01/29/2021,235,3035,212,2416,0.041,23,619,0.011,58669,POINT (-87.771902 41.787032),60638-20210129
60638,01/30/2021,152,3187,132,2548,0.043,20,639,0.011,58669,POINT (-87.771902 41.787032),60638-20210130
60638,01/31/2021,27,3214,21,2569,0.044,6,645,0.011,58669,POINT (-87.771902 41.787032),60638-20210131
60638,02/01/2021,157,3371,133,2702,0.046,24,669,0.011,58669,POINT (-87.771902 41.787032),60638-20210201
60649,01/15/2021,40,990,32,883,0.019,8,107,0.002,46633,POINT (-87.571522 41.762202),60649-20210115
60652,01/16/2021,26,880,19,735,0.017,7,145,0.003,43447,POINT (-87.714238 41.745398),60652-20210116
60652,01/17/2021,6,886,5,740,0.017,1,146,0.003,43447,POINT (-87.714238 41.745398),60652-20210117
60654,12/21/2020,95,400,95,400,0.02,0,0,0,20022,POINT (-87.636354 41.892485),60654-20201221
60654,12/22/2020,82,482,82,482,0.024,0,0,0,20022,POINT (-87.636354 41.892485),60654-20201222
60655,01/15/2021,45,1432,37,1072,0.038,8,360,0.013,28569,POINT (-87.701434 41.696456),60655-20210115
60655,01/16/2021,20,1452,14,1086,0.038,6,366,0.013,28569,POINT (-87.701434 41.696456),60655-20210116
60655,01/17/2021,12,1464,12,1098,0.038,0,366,0.013,28569,POINT (-87.701434 41.696456),60655-20210117
60656,01/14/2021,45,710,34,515,0.018,11,195,0.007,28218,POINT (-87.817934 41.974566),60656-20210114
60656,01/15/2021,24,734,20,535,0.019,4,199,0.007,28218,POINT (-87.817934 41.974566),60656-20210115
60656,01/16/2021,22,756,18,553,0.02,4,203,0.007,28218,POINT (-87.817934 41.974566),60656-20210116
60656,01/17/2021,6,762,5,558,0.02,1,204,0.007,28218,POINT (-87.817934 41.974566),60656-20210117
60659,01/10/2021,11,869,3,760,0.018,8,109,0.003,42735,POINT (-87.703266 41.990803),60659-20210110
60659,01/11/2021,65,934,21,781,0.018,44,153,0.004,42735,POINT (-87.703266 41.990803),60659-20210111
60659,01/12/2021,73,1007,45,826,0.019,28,181,0.004,42735,POINT (-87.703266 41.990803),60659-20210112
60659,01/13/2021,98,1105,60,886,0.021,38,219,0.005,42735,POINT (-87.703266 41.990803),60659-20210113
60659,01/14/2021,174,1279,167,1053,0.025,7,226,0.005,42735,POINT (-87.703266 41.990803),60659-20210114
60659,01/15/2021,66,1345,61,1114,0.026,5,231,0.005,42735,POINT (-87.703266 41.990803),60659-20210115
60827,02/03/2021,8,95,6,78,0.003,2,17,0.001,28483,POINT (-87.633087 41.650765),60827-20210203
60601,01/14/2021,36,935,28,651,0.043,8,284,0.019,15083,POINT (-87.622844 41.886262),60601-20210114
60601,01/15/2021,33,968,22,673,0.045,11,295,0.02,15083,POINT (-87.622844 41.886262),60601-20210115
60601,01/16/2021,24,992,19,692,0.046,5,300,0.02,15083,POINT (-87.622844 41.886262),60601-20210116
60601,01/17/2021,13,1005,7,699,0.046,6,306,0.02,15083,POINT (-87.622844 41.886262),60601-20210117
60601,01/18/2021,31,1036,10,709,0.047,21,327,0.022,15083,POINT (-87.622844 41.886262),60601-20210118
60601,01/19/2021,43,1079,21,730,0.048,22,349,0.023,15083,POINT (-87.622844 41.886262),60601-20210119
60601,01/20/2021,55,1134,38,768,0.051,17,366,0.024,15083,POINT (-87.622844 41.886262),60601-20210120
60601,01/21/2021,98,1232,86,854,0.057,12,378,0.025,15083,POINT (-87.622844 41.886262),60601-20210121
60601,01/22/2021,119,1351,108,962,0.064,11,389,0.026,15083,POINT (-87.622844 41.886262),60601-20210122
60601,01/23/2021,30,1381,29,991,0.066,1,390,0.026,15083,POINT (-87.622844 41.886262),60601-20210123
60601,01/24/2021,10,1391,9,1000,0.066,1,391,0.026,15083,POINT (-87.622844 41.886262),60601-20210124
60601,01/25/2021,59,1450,36,1036,0.069,23,414,0.027,15083,POINT (-87.622844 41.886262),60601-20210125
60601,01/26/2021,62,1512,34,1070,0.071,28,442,0.029,15083,POINT (-87.622844 41.886262),60601-20210126
60601,01/27/2021,65,1577,51,1121,0.074,14,456,0.03,15083,POINT (-87.622844 41.886262),60601-20210127
60601,01/28/2021,87,1664,67,1188,0.079,20,476,0.032,15083,POINT (-87.622844 41.886262),60601-20210128
60601,01/29/2021,105,1769,94,1282,0.085,11,487,0.032,15083,POINT (-87.622844 41.886262),60601-20210129
60601,01/30/2021,33,1802,21,1303,0.086,12,499,0.033,15083,POINT (-87.622844 41.886262),60601-20210130
60601,01/31/2021,12,1814,9,1312,0.087,3,502,0.033,15083,POINT (-87.622844 41.886262),60601-20210131
60601,02/01/2021,35,1849,23,1335,0.089,12,514,0.034,15083,POINT (-87.622844 41.886262),60601-20210201
60601,02/02/2021,51,1900,28,1363,0.09,23,537,0.036,15083,POINT (-87.622844 41.886262),60601-20210202
60601,02/03/2021,59,1959,43,1406,0.093,16,553,0.037,15083,POINT (-87.622844 41.886262),60601-20210203
60601,02/04/2021,97,2056,81,1487,0.099,16,569,0.038,15083,POINT (-87.622844 41.886262),60601-20210204
60602,01/18/2021,7,127,5,94,0.082,2,33,0.029,1145,POINT (-87.628309 41.883136),60602-20210118
60602,01/19/2021,19,146,11,105,0.092,8,41,0.036,1145,POINT (-87.628309 41.883136),60602-20210119
60602,01/20/2021,10,156,8,113,0.099,2,43,0.038,1145,POINT (-87.628309 41.883136),60602-20210120
60602,01/21/2021,14,170,13,126,0.11,1,44,0.038,1145,POINT (-87.628309 41.883136),60602-20210121
60602,01/22/2021,22,192,22,148,0.129,0,44,0.038,1145,POINT (-87.628309 41.883136),60602-20210122
60602,01/23/2021,10,202,10,158,0.138,0,44,0.038,1145,POINT (-87.628309 41.883136),60602-20210123
60602,01/24/2021,1,203,1,159,0.139,0,44,0.038,1145,POINT (-87.628309 41.883136),60602-20210124
60602,01/25/2021,11,214,9,168,0.147,2,46,0.04,1145,POINT (-87.628309 41.883136),60602-20210125
60602,01/26/2021,15,229,9,177,0.155,6,52,0.045,1145,POINT (-87.628309 41.883136),60602-20210126
60602,01/27/2021,11,240,8,185,0.162,3,55,0.048,1145,POINT (-87.628309 41.883136),60602-20210127
60602,01/28/2021,10,250,10,195,0.17,0,55,0.048,1145,POINT (-87.628309 41.883136),60602-20210128
60602,01/29/2021,12,262,11,206,0.18,1,56,0.049,1145,POINT (-87.628309 41.883136),60602-20210129
60602,01/30/2021,13,275,11,217,0.19,2,58,0.051,1145,POINT (-87.628309 41.883136),60602-20210130
60602,01/31/2021,1,276,0,217,0.19,1,59,0.052,1145,POINT (-87.628309 41.883136),60602-20210131
60666,02/04/2021,1,14,1,14,0,0,0,0,0,POINT (-87.896371 41.979511),60666-20210204
60602,02/01/2021,13,289,12,229,0.2,1,60,0.052,1145,POINT (-87.628309 41.883136),60602-20210201
60602,02/02/2021,14,303,9,238,0.208,5,65,0.057,1145,POINT (-87.628309 41.883136),60602-20210202
60602,02/03/2021,20,323,16,254,0.222,4,69,0.06,1145,POINT (-87.628309 41.883136),60602-20210203
60602,02/04/2021,16,339,14,268,0.234,2,71,0.062,1145,POINT (-87.628309 41.883136),60602-20210204
60603,01/18/2021,3,180,3,147,0.14,0,33,0.031,1052,POINT (-87.625473 41.880112),60603-20210118
60603,01/19/2021,0,180,0,147,0.14,0,33,0.031,1052,POINT (-87.625473 41.880112),60603-20210119
60603,01/20/2021,9,189,9,156,0.148,0,33,0.031,1052,POINT (-87.625473 41.880112),60603-20210120
60603,01/21/2021,12,201,9,165,0.157,3,36,0.034,1052,POINT (-87.625473 41.880112),60603-20210121
60603,01/22/2021,23,224,23,188,0.179,0,36,0.034,1052,POINT (-87.625473 41.880112),60603-20210122
60603,01/23/2021,8,232,8,196,0.186,0,36,0.034,1052,POINT (-87.625473 41.880112),60603-20210123
60603,01/24/2021,2,234,1,197,0.187,1,37,0.035,1052,POINT (-87.625473 41.880112),60603-20210124
60603,01/25/2021,4,238,3,200,0.19,1,38,0.036,1052,POINT (-87.625473 41.880112),60603-20210125
60603,01/26/2021,6,244,4,204,0.194,2,40,0.038,1052,POINT (-87.625473 41.880112),60603-20210126
60603,01/27/2021,68,312,68,272,0.259,0,40,0.038,1052,POINT (-87.625473 41.880112),60603-20210127
60603,01/28/2021,8,320,6,278,0.264,2,42,0.04,1052,POINT (-87.625473 41.880112),60603-20210128
60603,01/29/2021,7,327,6,284,0.27,1,43,0.041,1052,POINT (-87.625473 41.880112),60603-20210129
60603,01/30/2021,9,336,8,292,0.278,1,44,0.042,1052,POINT (-87.625473 41.880112),60603-20210130
60603,01/31/2021,0,336,0,292,0.278,0,44,0.042,1052,POINT (-87.625473 41.880112),60603-20210131
60603,02/01/2021,3,339,2,294,0.279,1,45,0.043,1052,POINT (-87.625473 41.880112),60603-20210201
60603,02/02/2021,9,348,5,299,0.284,4,49,0.047,1052,POINT (-87.625473 41.880112),60603-20210202
60603,02/04/2021,9,375,4,320,0.304,5,55,0.052,1052,POINT (-87.625473 41.880112),60603-20210204
60604,01/26/2021,19,122,18,110,0.134,1,12,0.015,823,POINT (-87.629029 41.878153),60604-20210126
60604,01/27/2021,15,137,14,124,0.151,1,13,0.016,823,POINT (-87.629029 41.878153),60604-20210127
60827,02/04/2021,4,99,3,81,0.003,1,18,0.001,28483,POINT (-87.633087 41.650765),60827-20210204
60604,01/28/2021,20,157,19,143,0.174,1,14,0.017,823,POINT (-87.629029 41.878153),60604-20210128
60604,01/29/2021,21,178,19,162,0.197,2,16,0.019,823,POINT (-87.629029 41.878153),60604-20210129
60604,01/30/2021,0,178,0,162,0.197,0,16,0.019,823,POINT (-87.629029 41.878153),60604-20210130
60604,01/31/2021,2,180,1,163,0.198,1,17,0.021,823,POINT (-87.629029 41.878153),60604-20210131
60604,02/01/2021,5,185,5,168,0.204,0,17,0.021,823,POINT (-87.629029 41.878153),60604-20210201
60604,02/02/2021,8,193,7,175,0.213,1,18,0.022,823,POINT (-87.629029 41.878153),60604-20210202
60604,02/04/2021,3,203,3,184,0.224,0,19,0.023,823,POINT (-87.629029 41.878153),60604-20210204
60605,01/18/2021,93,3590,40,2316,0.08,53,1274,0.044,29060,POINT (-87.623449 41.867824),60605-20210118
60605,01/19/2021,119,3709,54,2370,0.082,65,1339,0.046,29060,POINT (-87.623449 41.867824),60605-20210119
60605,01/20/2021,125,3834,39,2409,0.083,86,1425,0.049,29060,POINT (-87.623449 41.867824),60605-20210120
60605,01/21/2021,169,4003,120,2529,0.087,49,1474,0.051,29060,POINT (-87.623449 41.867824),60605-20210121
60605,01/22/2021,209,4212,188,2717,0.093,21,1495,0.051,29060,POINT (-87.623449 41.867824),60605-20210122
60605,01/23/2021,95,4307,82,2799,0.096,13,1508,0.052,29060,POINT (-87.623449 41.867824),60605-20210123
60605,01/24/2021,31,4338,30,2829,0.097,1,1509,0.052,29060,POINT (-87.623449 41.867824),60605-20210124
60605,01/25/2021,149,4487,82,2911,0.1,67,1576,0.054,29060,POINT (-87.623449 41.867824),60605-20210125
60605,01/26/2021,130,4617,71,2982,0.103,59,1635,0.056,29060,POINT (-87.623449 41.867824),60605-20210126
60605,01/27/2021,160,4777,124,3106,0.107,36,1671,0.058,29060,POINT (-87.623449 41.867824),60605-20210127
60605,01/28/2021,199,4976,155,3261,0.112,44,1715,0.059,29060,POINT (-87.623449 41.867824),60605-20210128
60605,01/29/2021,222,5198,183,3444,0.119,39,1754,0.06,29060,POINT (-87.623449 41.867824),60605-20210129
60605,01/30/2021,69,5267,46,3490,0.12,23,1777,0.061,29060,POINT (-87.623449 41.867824),60605-20210130
60605,01/31/2021,31,5298,24,3514,0.121,7,1784,0.061,29060,POINT (-87.623449 41.867824),60605-20210131
60605,02/01/2021,106,5404,72,3586,0.123,34,1818,0.063,29060,POINT (-87.623449 41.867824),60605-20210201
60605,02/02/2021,160,5564,89,3675,0.126,71,1889,0.065,29060,POINT (-87.623449 41.867824),60605-20210202
60605,02/03/2021,139,5703,97,3772,0.13,42,1931,0.066,29060,POINT (-87.623449 41.867824),60605-20210203
60605,02/04/2021,188,5891,143,3915,0.135,45,1976,0.068,29060,POINT (-87.623449 41.867824),60605-20210204
60606,02/04/2021,23,546,19,390,0.119,4,156,0.047,3287,POINT (-87.63676 41.882634),60606-20210204
60607,01/18/2021,87,3373,45,2350,0.08,42,1023,0.035,29293,POINT (-87.652727 41.876104),60607-20210118
60607,01/19/2021,150,3523,59,2409,0.082,91,1114,0.038,29293,POINT (-87.652727 41.876104),60607-20210119
60607,01/20/2021,255,3778,125,2534,0.087,130,1244,0.042,29293,POINT (-87.652727 41.876104),60607-20210120
60607,01/21/2021,210,3988,153,2687,0.092,57,1301,0.044,29293,POINT (-87.652727 41.876104),60607-20210121
60607,01/22/2021,169,4157,149,2836,0.097,20,1321,0.045,29293,POINT (-87.652727 41.876104),60607-20210122
60607,01/23/2021,52,4209,43,2879,0.098,9,1330,0.045,29293,POINT (-87.652727 41.876104),60607-20210123
60607,01/24/2021,18,4227,16,2895,0.099,2,1332,0.045,29293,POINT (-87.652727 41.876104),60607-20210124
60607,01/25/2021,192,4419,74,2969,0.101,118,1450,0.049,29293,POINT (-87.652727 41.876104),60607-20210125
60607,01/26/2021,270,4689,206,3175,0.108,64,1514,0.052,29293,POINT (-87.652727 41.876104),60607-20210126
60607,01/27/2021,169,4858,120,3295,0.112,49,1563,0.053,29293,POINT (-87.652727 41.876104),60607-20210127
60607,01/28/2021,236,5094,149,3444,0.118,87,1650,0.056,29293,POINT (-87.652727 41.876104),60607-20210128
60607,01/29/2021,159,5253,111,3555,0.121,48,1698,0.058,29293,POINT (-87.652727 41.876104),60607-20210129
60607,01/30/2021,84,5337,54,3609,0.123,30,1728,0.059,29293,POINT (-87.652727 41.876104),60607-20210130
60607,01/31/2021,21,5358,14,3623,0.124,7,1735,0.059,29293,POINT (-87.652727 41.876104),60607-20210131
60607,02/01/2021,106,5464,72,3695,0.126,34,1769,0.06,29293,POINT (-87.652727 41.876104),60607-20210201
60607,02/02/2021,151,5615,77,3772,0.129,74,1843,0.063,29293,POINT (-87.652727 41.876104),60607-20210202
